substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
NANG,BESS,30,43.98,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,BESS,50,62.79,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NEVE,PV,5,0.05,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,PV,10,2.61,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,PV,20,15.19,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,PV,30,27.14,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,PV,50,43.54,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
NEVE,Wind,10,0.02,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,Wind,20,2.2,LWND3T->58L5303P19,Moderate,Branch active (mean 1.9 MW) but no generation residual available,,7.297588952327907,,,
NEVE,Wind,30,13.23,LWND3T->58L5303P19,Moderate,Branch active (mean 1.9 MW) but no generation residual available,,7.297588952327907,,,
NEVE,Wind,50,34.57,LWND3T->58L5303P19,Moderate,Branch active (mean 1.9 MW) but no generation residual available,,7.297588952327907,,,
NEVE,BESS,5,0.0,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,BESS,10,0.4,BRID3_2L9->BRID3_2L5,Moderate,Branch active (mean 2.4 MW) but no generation residual available,,19.148,,,
NEVE,BESS,20,12.72,LWND3T->58L5303P19,Moderate,Branch active (mean 1.9 MW) but no generation residual available,,7.297588952327907,,,
NEVE,BESS,30,28.97,LWND3T->58L5303P19,Moderate,Branch active (mean 1.9 MW) but no generation residual available,,7.297588952327907,,,
NEVE,BESS,50,43.05,LWND3T->58L5303P19,Moderate,Branch active (mean 1.9 MW) but no generation residual available,,7.297588952327907,,,
NEWL,PV,5,0.26,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
